#ClinGen Gene Curation Results
#31 May,2020
#Genomic Locations are reported on GRCh38 (hg38): GCF_000001405.36
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
GIGYF2	26058	2q37.1	chr2:232697305-232860577	2	Some evidence for dosage pathogenicity	25170348	25363768	27824329	0	No evidence available				2018-11-28		
GIPC3	126326	19p13.3	chr19:3585531-3593541	30	Gene associated with autosomal recessive phenotype	21326233	21660509		0	No evidence available				2016-08-22	601869	
GJA1	2697	6q22.31	chr6:121435577-121449744	0	No evidence available				0	No evidence available				2013-11-20		
GJA5	2702	1q21.2	chr1:147756199-147781127	1	Little evidence for dosage pathogenicity	20818502			0	No evidence available				2012-02-23		
GJA8	2703	1q21.2	chr1:147902820-147915287	1	Little evidence for dosage pathogenicity	18006672			0	No evidence available				2012-02-23		
GJB2	2706	13q12.11	chr13:20187463-20192975	40	Dosage sensitivity unlikely				0	No evidence available				2012-05-10	148350,124500,148210,602540,601544,149200	
GJB6	10804	13q12.11	chr13:20221962-20232395	0	No evidence available				0	No evidence available				2014-01-30		
GK	2710	Xp21.2	chrX:30653348-30731462	3	Sufficient evidence for dosage pathogenicity	8651297	9719371	10851254	0	No evidence available				2012-09-06	307030	
GLA	2717	Xq22.1	chrX:101397791-101408013	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-05-17	301500	
GLB1	2720	3p22.3	chr3:32996608-33097230	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-03-25	230500,230600,230650,253010	
GLDC	2731	9p24.1	chr9:6532464-6645692	30	Gene associated with autosomal recessive phenotype	22171071			0	No evidence available				2016-06-10	605899	
GLI2	2736	2q14.2	chr2:120797291-120992653	3	Sufficient evidence for dosage pathogenicity	14581620	21204792	20685856	0	No evidence available				2011-12-01	610829	
GLI3	2737	7p14.1	chr7:41960949-42237019	3	Sufficient evidence for dosage pathogenicity	15739154	21326280		0	No evidence available				2012-03-22	175700	
GLIS3	169792	9p24.2	chr9:3824127-4310694	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	610199	
GLMN	11146	1p22.1	chr1:92245786-92441936	3	Sufficient evidence for dosage pathogenicity	11845407	15689436	22092580	0	No evidence available				2013-07-18	138000	
GLRB	2743	4q32.1	chr4:157076125-157172090	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614619	
GLUL	2752	1q25.3	chr1:182378093-182392206	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-06-04	610015	
GMPPA	29926	2q35	chr2:219498865-219506996	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615510	
GNAI3	2773	1p13.3	chr1:109548564-109595843	0	No evidence available				0	No evidence available				2013-07-18		
GNAS	2778	20q13.32	chr20:58839681-58911196	3	Sufficient evidence for dosage pathogenicity	9876352	11095461	11600516	0	No evidence available				2012-07-12	103580,612463,166350	
GNB1	2782	1p36.33	chr1:1785285-1891117	1	Little evidence for dosage pathogenicity	28087732			0	No evidence available				2019-01-23	616973	
GNPAT	8443	1q42.2	chr1:231241173-231277973	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	222765	
GNRH1	2796	8p21.2	chr8:25419258-25425040	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614841	
GNS	2799	12q14.3	chr12:64713442-64759446	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	252940	
GOLGA2P2Y	84559	Yq11.23	chrY:24209967-24214831	0	No evidence available				0	No evidence available				2012-08-22		
GORAB	92344	1q24.2	chr1:170532122-170553834	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	231070	
GP1BB	2812	22q11.21	chr22:19723543-19724774	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	231200	
GP6	51206	19q13.42	chr19:55013705-55038264	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614201	
GPC3	2719	Xq26.2	chrX:133535745-133985646	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-04-26	312870	
GPC5	2262	13q31.3	chr13:91398619-92867237	0	No evidence available				0	No evidence available				2012-03-08		
GPC6	10082	13q31.3-q32.1	chr13:93226808-94408020	30	Gene associated with autosomal recessive phenotype				0	No evidence available	19941983			2011-11-17	258315	
GPD1	2819	12q13.12	chr12:50103819-50111320	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614480	
GPHN	10243	14q23.3-q24.1	chr14:66507407-67735831	2	Some evidence for dosage pathogenicity	23393157	24561070	24643514	0	No evidence available				2014-08-28		
GPIHBP1	338328	8q24.3	chr8:143213193-143217170	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615947	
GPR148	344561	2q21.1	chr2:130729070-130730336	0	No evidence available				0	No evidence available				2018-04-05		
GPR179	440435	17q12	chr17:38325610-38343810	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614565	
GPSM2	29899	1p13.3	chr1:108875350-108934335	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	604213	
GPX4	2879	19p13.3	chr19:1103926-1106789	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	250220	
GRB10	2887	7p12.1	chr7:50590063-50793462	0	No evidence available				0	No evidence available				2012-03-23		
GRHPR	9380	9p13.2	chr9:37422666-37437782	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	260000	
GRIA3	2892	Xq25	chrX:123184243-123490915	2	Some evidence for dosage pathogenicity	17568425	19449417	17989220	0	No evidence available				2019-10-23	300699	
GRID1	2894	10q23.1-q23.2	chr10:85599555-86366493	0	No evidence available				0	No evidence available				2011-12-21		
GRIK2	2898	6q16.3	chr6:101393708-102070083	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-09-05	611092	
GRIN2A	2903	16p13.2	chr16:9753404-10183364	1	Little evidence for dosage pathogenicity	20890276			0	No evidence available				2013-06-19	613971	
GRIN2B	2904	12p13.1	chr12:13537337-13982012	3	Sufficient evidence for dosage pathogenicity	23160955	20890276	28377535	0	No evidence available				2019-09-25	613970	
GRIP1	23426	12q14.3	chr12:66347431-67069265	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-07-10	219000	
GRM1	2911	6q24.3	chr6:146027634-146437598	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614831	
GRM6	2916	5q35.3	chr5:178978327-178995123	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	257270	
GRXCR1	389207	4p13	chr4:42893266-43030658	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2018-03-06	613285	
GTF2H5	404672	6q25.3	chr6:158168316-158199344	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	616395	
GTF2I	2969	7q11.23	chr7:74657665-74760692	0	No evidence available				0	No evidence available				2012-08-08		
GTF2IRD1	9569	7q11.23	chr7:74453790-74603070	0	No evidence available				0	No evidence available				2012-10-10		
GTF2IRD2	84163	7q11.23	chr7:74796144-74851576	0	No evidence available				0	No evidence available				2013-12-04		
GUCY2C	2984	12p12.3	chr12:14612632-14696625	0	No evidence available				0	No evidence available				2013-09-18		
GUSB	2990	7q11.21	chr7:65960684-65982314	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-10-11	253220	
GYS2	2998	12p12.1	chr12:21536189-21604858	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	240600	
H19	283120	11p15.5	chr11:1995176-2001466	0	No evidence available				0	No evidence available				2012-03-22		
H6PD	9563	1p36.22	chr1:9234767-9271337	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	604931	
HBA1	3039	16p13.3	chr16:176651-177522	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-04-19		
HBA2	3040	16p13.3	chr16:172847-173710	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-07-06		
HCCS	3052	Xp22.2	chrX:11111286-11123086	3	Sufficient evidence for dosage pathogenicity	17033964			0	No evidence available				2012-05-10	309801	
HDAC4	9759	2q37.3	chr2:239048168-239401647	1	Little evidence for dosage pathogenicity	20691407			0	No evidence available				2011-11-07	600430	
HDAC8	55869	Xq13.1	chrX:72329516-72573103	3	Sufficient evidence for dosage pathogenicity	22885700	24403048	26671848	0	No evidence available				2018-03-28	300882	
HEXB	3074	5q13.3	chr5:74640023-74721288	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	268800	
HFE	3077	6p22.2	chr6:26087281-26096216	30	Gene associated with autosomal recessive phenotype	18809761			0	No evidence available				2016-11-10	235200	
HFE2	148738	1q21.1	chr1:146017468-146021822	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
HFM1	164045	1p22.2	chr1:91260766-91408008	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615724	
HGF	3082	7q21.11	chr7:81699006-81770438	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	608265	
HGSNAT	138050	8p11.21-p11.1	chr8:43140449-43202827	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
HIRA	7290	22q11.21	chr22:19330701-19431696	0	No evidence available				0	No evidence available				2012-08-28		
HIST1H1E	3008	6p22.2	chr6:26156331-26157115	3	Sufficient evidence for dosage pathogenicity	28475857	29704315	29383847	0	No evidence available				2019-06-26	617537	
HIVEP2	3097	6q24.2	chr6:142751467-142945201	3	Sufficient evidence for dosage pathogenicity	27003583	26153216	23020937	0	No evidence available				2018-04-25	616977	
HIVEP3	59269	1p34.2	chr1:41506365-42035925	1	Little evidence for dosage pathogenicity	29302074	27824329	25849321	0	No evidence available				2019-01-23		
HLCS	3141	21q22.13	chr21:36750888-36990254	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	253270	
HMBS	3145	11q23.3	chr11:119084871-119093549	3	Sufficient evidence for dosage pathogenicity	19460837	12372055	10790212	0	No evidence available				2020-01-08	176000	
HMGA2	8091	12q14.3	chr12:65824460-65966291	2	Some evidence for dosage pathogenicity	19298872	25809938		0	No evidence available				2017-02-02		
HNF1B	6928	17q12	chr17:37686431-37745078	3	Sufficient evidence for dosage pathogenicity	10720943	15068978	9398836	0	No evidence available				2012-04-19	137920	
HNRNPK	3190	9q21.32	chr9:83968083-83980782	3	Sufficient evidence for dosage pathogenicity	26173930	26954065		0	No evidence available				2016-08-11	616580	
HOXD13	3239	2q31.1	chr2:176087487-176095938	3	Sufficient evidence for dosage pathogenicity	12900906	11778160	19060004	0	No evidence available				2012-02-23	113200,610713,186300,186000	
HOXD9	3235	2q31.1	chr2:176122685-176124917	0	No evidence available				0	No evidence available				2012-02-22		
HPGD	3248	4q34.1	chr4:174490177-174522898	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
HPRT1	3251	Xq26.2-q26.3	chrX:134460145-134500668	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-04-26	300322	
HPS1	3257	10q24.2	chr10:98415068-98446963	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	203300	
HPS3	84343	3q24	chr3:149129584-149173196	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614072	
HPSE2	60495	10q24.2	chr10:98457077-99235875	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-03-11	236730	
HRAS	3265	11p15.5	chr11:532242-535567	0	No evidence available				0	No evidence available				2015-10-15		
HSD17B10	3028	Xp11.22	chrX:53431258-53434376	0	No evidence available				0	No evidence available				2012-09-06		
HSD17B3	3293	9q22.32	chr9:96235306-96313987	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	264300	
HSD17B4	3295	5q23.1	chr5:119452443-119542335	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2018-03-06	233400,261515	
HSD3B7	80270	16p11.2	chr16:30985189-30989152	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	607765	
HSPG2	3339	1p36.12	chr1:21822232-21937297	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-06-02		
HUWE1	10075	Xp11.22	chrX:53532096-53686729	0	No evidence available				0	No evidence available				2018-09-26	300706	300706
HYLS1	219844	11q24.2	chr11:125883614-125900646	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	236680	
HYMAI	57061	6q24.2	chr6:144004916-144008730	0	No evidence available				0	No evidence available				2012-09-06		
IDS	3423	Xq28	chrX:149476990-149505354	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-04-26	309900	
IDUA	3425	4p16.3	chr4:986997-1004557	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
IFT140	9742	16p13.3	chr16:1510427-1612108	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	266920	
IFT27	11020	22q12.3	chr22:36758202-36776133	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
IFT43	112752	14q24.3	chr14:75985753-76084073	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614099	
IGF1R	3480	15q26.3	chr15:98648539-98964530	3	Sufficient evidence for dosage pathogenicity	14657428	19240156	21811077	0	No evidence available				2012-08-23	270450	
IGF2	3481	11p15.5	chr11:2129112-2149603	0	No evidence available				0	No evidence available				2012-03-22		
IGF2R	3482	6q25.3	chr6:159969099-160111504	0	No evidence available				0	No evidence available				2012-06-07		
IGHMBP2	3508	11q13.3	chr11:68903851-68940602	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
IGLL1	3543	22q11.23	chr22:23573125-23580548	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613500	
IKBKG	8517	Xq28	chrX:154542240-154565046	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-04-05	308300	
IL10RA	3587	11q23.3	chr11:117986391-118001483	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613148	
IL17RA	23765	22q11.1	chr22:17084959-17115694	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613953	
IL1RAPL1	11141	Xp21.3-p21.2	chrX:28587564-29956350	3	Sufficient evidence for dosage pathogenicity	22031302	21933724	21271657	0	No evidence available				2012-08-23	300143	
IL21R	50615	16p12.1	chr16:27402162-27452045	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
IL2RA	3559	10p15.1	chr10:6010694-6062370	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
IMPA1	3612	8q21.13	chr8:81656916-81686354	0	No evidence available				0	No evidence available				2012-02-08		
IMPAD1	54928	8q12.1	chr8:56957929-56993874	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614078	
